local e=
{
ByIdx={
{10601001,1002,"哇！是大海呀——~","わあ！海だ～～～～！","","와! 바다당~","わあ！海だ～～～～！",0,0,"","","","","","","","","",""},
{10602008,999,"打个辅助？什么意思？","手伝う？何を？","","그게 뭔데?","手伝う？何を？",0,0,"","","","","","","","","",""},
{10602009,1060,"我想让你们帮我攻略关羽小姐！","関羽さんを攻略させてほしいのだ。","","관우 님을 공략할 수 있게 도와줘!","関羽さんを攻略させてほしいのだ。",0,0,"","","","","","","","","",""},
{10602010,999,"噗——","ぶっ！","","푸웃 ㅡ!!!!","ぶっ！",0,0,"","","","","","","","","",""},
{10602011,999,"你说的攻略难道是指……","お前の言っている攻略とは……","","네가 말하는 공략이란 게 혹시...","お前の言っている攻略とは……",0,0,"","","","","","","","","",""},
{10602012,1060,"没错！我对关羽小姐真是一见倾心呐！她是我从未见过那种，很强大，很特别……","そうだ！わしは関羽さんに一目惚れした。彼女はわしが見たことがないほど強くて、特別な存在で……。","","맞아! 과인이 한 눈에 반해버렸어... \r\n그 순간, 정말 강력하고 특별한 그... 느낌을 받았다구!","そうだ！わしは関羽さんに一目惚れした。彼女はわしが見たことがないほど強くて、特別な存在で……。",0,0,"","","","","","","","","",""},
{10602013,999,"这……这老身也不好说什么啦！但这种事情，你拜托这小子也没有用吧！","それは……わしには何とも言えん！そんなの、小僧に頼んだって無駄じゃろう！","","어... 이건 좀 도와주기 힘들 거 같은데... \r\n더군다나 이 녀석한테 부탁해도 아무 소용 없을 거야!","それは……わしには何とも言えん！そんなの、小僧に頼んだって無駄じゃろう！",0,0,"","","","","","","","","",""},
{10602014,1060,"不不不，你们才是最合适的！","いやいや、汝らこそ最適なのだ！","","아니아니~ 아~~~주 적합해!","いやいや、汝らこそ最適なのだ！",0,0,"","","","","","","","","",""},
{10602015,1060,"关羽小姐以前可能听过关于我的一些胡说八道的流言，导致这一路来总是对我抱持着偏见和戒备。","関羽さんは以前、わしのでたらめな噂を聞いたことがあるようで、いつもわしに偏見と警戒心を抱いておる。","","관우 님이 과인에 대한 오해가 좀 있는 거 같아.\r\n그래서 섣불리 과인에게 마음을 열지 않는다구...","関羽さんは以前、わしのでたらめな噂を聞いたことがあるようで、いつもわしに偏見と警戒心を抱いておる。",0,0,"","","","","","","","","",""},
{10602016,999,"有没有一种可能，是因为某种程度上你们是利益相关的敌人呢（小声）。","お前たちが利害関係のある敵同士だからじゃないのか？（小声）。","","음, 왜냐하면 너희 둘은 완전 적이니깐... (중얼중얼)","お前たちが利害関係のある敵同士だからじゃないのか？（小声）。",0,0,"","","","","","","","","",""},
{10602017,1060,"而你们不同，你们一个是神的分身，一个是异世来的救世者，更是屡屡从魔龙姬手中拯救了无数生命。","汝たちは、神の分身と異世界からの救世者で、何度も魔竜姫から無数の命を救った。","","하지만 너희들은 달라. 아마테라스는 신이고, 성주는 이세계에서 온 구원자니깐.\r\n마용녀에게서 수많은 생명을 구했잖아!","汝たちは、神の分身と異世界からの救世者で、何度も魔竜姫から無数の命を救った。",0,0,"","","","","","","","","",""},
{10602018,1060,"有你们这样有威望的人从中说项，即使是油盐不进的关羽小姐，也必然会被我撬开一道缝。","汝らのような威光がある人間が一緒にいてくれれば、たとえ警戒心の強い関羽さんであっても、きっと少しずつわしに心を開いてくれるだろう。","","너희들이 관우 님에게 과인에 대한 좋은 말을 해준다면. \r\n분명 관우 님도 과인에게 마음을 열어줄 거야.","汝らのような威光がある人間が一緒にいてくれれば、たとえ警戒心の強い関羽さんであっても、きっと少しずつわしに心を開いてくれるだろう。",0,0,"","","","","","","","","",""},
{10602019,1060,"到时候，嘿嘿嘿……","その時は、へへへ……","","그리고... 그 다음에 관우 님과... 에헤헤...","その時は、へへへ……",0,0,"","","","","","","","","",""},
{10602020,999,"喂，口水收一下啊，突然笑得好猥琐！","ちょっと！よだれを拭け、急に下品に笑うでない！","","어이... 침 좀 닦고 말하지?! \r\n소름 끼쳐~!","ちょっと！よだれを拭け、急に下品に笑うでない！",0,0,"","","","","","","","","",""},
{10602021,1060,"咳咳，不好意思，我刚才也想到了高兴的事情。","ゴホン、すまない。今嬉しいことが頭に浮かんでしまったんだ。","","아앗... 미안... 나도 모르게 상상이 돼서...","ゴホン、すまない。今嬉しいことが頭に浮かんでしまったんだ。",0,0,"","","","","","","","","",""},
{10602022,1060,"总之拜托你们了！","とにかく、頼む！","","아무튼 과인을 좀 도와줘!","とにかく、頼む！",0,0,"","","","","","","","","",""},
{10602023,999,"虽然你都这样请求了，但感情这种事还是讲诚心会比较好呢……至少老身是这样认为的。","そう頼まれてものう。お前の感情については正直に言ったほうがいいと思うぞ…少なくともわしはそう思っておる。","","그래도 이건 감정의 문제니깐. 네 진심이 제일 중요해.\r\n적어도 이 몸은 네가 진심으로 다가가면...","そう頼まれてものう。お前の感情については正直に言ったほうがいいと思うぞ…少なくともわしはそう思っておる。",0,0,"","","","","","","","","",""},
{10602024,1060,"欸，感情？那种事暂时放在一边啦，你们帮我把人先弄到手再说！","え、感情？そんなのは後だ、まずはその人を手に入れないと！","","흐음~ 감정, 진심... 귀찮아! \r\n그냥 바로 제압해 버리면...!","え、感情？そんなのは後だ、まずはその人を手に入れないと！",0,0,"","","","","","","","","",""},
{10602025,999,"噗——","ぶはっ！","","푸웃 ㅡ!!!!","ぶはっ！",0,0,"","","","","","","","","",""},
{10602026,999,"突然出现的人渣发言！","急にクズ発言をするな！","","이거... 완전 양아치 아니야?!?!","急にクズ発言をするな！",0,0,"","","","","","","","","",""},
{10602027,999,"你这样的态度谁会喜欢你呀，给老身好好反省啊混蛋！","そんな態度で誰がお前のことを好きになると言うのじゃ！よーく反省しろ！","","네가 그런 태도니깐 다들 싫어하지! \r\n조조, 그건 범죄야!","そんな態度で誰がお前のことを好きになると言うのじゃ！よーく反省しろ！",0,0,"","","","","","","","","",""},
{10602028,1060,"这……和喜欢有什么关系么？","ん……好きな気持ちと何か関係があるか？","","필요하니깐... 애달픈 게 당연한 거 아니야?","ん……好きな気持ちと何か関係があるか？",0,0,"","","","","","","","","",""},
{10602029,999,"怎么会没有关系啊！两个人在一起，不喜欢又怎么会心意相通呢！","関係ないわけないじゃろ！一緒にいる2人がお互いを好きでないなら、どうやって気持ちを通じ合わせるのじゃ！","","이해는 하지만 그래도 두 사람의 마음이 맞아야지!","関係ないわけないじゃろ！一緒にいる2人がお互いを好きでないなら、どうやって気持ちを通じ合わせるのじゃ！",0,0,"","","","","","","","","",""},
{10602030,999,"没有感情基础，迟早也会分开的啦！","愛情という土台を固めない限り、遅かれ早かれ別れることになるぞ！","","그게 아니라면 끝은 정해져 있어!","愛情という土台を固めない限り、遅かれ早かれ別れることになるぞ！",0,0,"","","","","","","","","",""},
{10602031,1060,"唔……我明白了！这就是为什么关羽小姐对她那两个姐妹念念不完，是因为她们之间存在着某种感情！","そうか……わかったぞ！だから関羽さんは、二人の姉妹のことを片時も忘れないのだな。彼女たちの間に特別な感情が存在しておるから！","","힝... 알겠어...! 뭐 관우 님께서 두 자매를 그리워하는 그런 마음?\r\n뭐 그런 거랑 비슷해야 한다는 거잖아...!","そうか……わかったぞ！だから関羽さんは、二人の姉妹のことを片時も忘れないのだな。彼女たちの間に特別な感情が存在しておるから！",0,0,"","","","","","","","","",""},
{10602032,999,"呃，姐妹之情也是感情，倒也不算错啦……就是感觉哪里不太对劲……","うむ、姉妹の絆も感情の一つじゃし、間違ってはおらんのじゃが……なんかおかしいのう……。","","음... 가족의 정과 조조 네 녀석이 가지는 감정은 좀 다른 거긴 한데...","うむ、姉妹の絆も感情の一つじゃし、間違ってはおらんのじゃが……なんかおかしいのう……。",0,0,"","","","","","","","","",""},
{10602033,1060,"不愧是天照大神，一番话让我茅塞顿开呢！","さすがアマテラス様だ、一気に悟ったぞ！","","역시 아마테라스. 귀엽지만 꽤 똑똑하단 말이지!","さすがアマテラス様だ、一気に悟ったぞ！",0,0,"","","","","","","","","",""},
{10602034,1060,"所谓御下之术，不仅要晓以利益，更要动之以情，只要让下属对自己产生感情，就能彻底控制住对方，让其死心塌地。","支配術には、利益だけでなく、情も必要だ。自分に対する特別な感情を部下に抱かせることができれば、完全にコントロールし、支配することができる。","","부하를 다스리는 것에 진심을 다 해야 부하들 역시...\r\n진심을 다해 과인에게 충성할 수 있다는 거잖아!","支配術には、利益だけでなく、情も必要だ。自分に対する特別な感情を部下に抱かせることができれば、完全にコントロールし、支配することができる。",0,0,"","","","","","","","","",""},
{10602035,1060,"这真是妙啊！","素晴らしい！","","맞아... 그게 정답이었어!","素晴らしい！",0,0,"","","","","","","","","",""},
{10602036,999,"……欸？","……え？","","…… 어?","……え？",0,0,"","","","","","","","","",""},
{10602037,999,"御下，下属？","支配術、部下？","","부하?","支配術、部下？",0,0,"","","","","","","","","",""},
{10602038,999,"你刚才说的“攻略”难道不是指……","お前がさっき言った「攻略」とは……。","","그니깐... 네가 방금 말한 공략이란 게 설마...","お前がさっき言った「攻略」とは……。",0,0,"","","","","","","","","",""},
{10602039,1060,"关羽小姐如此勇武之猛将，若是能为我所用，必能大涨我军气势！","関羽さんのような勇敢な猛将をわしの力にできれば、必ず我が軍にとって大きな資産になるはずだ！","","관우 님처럼 강한 무사가 우리 군에 들어온다면. \r\n군의 기세를 크게 끌어올릴 수 있을 거야!","関羽さんのような勇敢な猛将をわしの力にできれば、必ず我が軍にとって大きな資産になるはずだ！",0,0,"","","","","","","","","",""},
{10602040,1060,"所以我想让你们帮忙，将关羽小姐从刘备那野丫头身边夺过来！","というわけで、関羽さんを劉備から奪うため、あなたたちの助けが必要なのだ！","","관우 님을 유비 그 계집애한테서 뺏어올 수 있도록\r\n너희들의 도움이 절실하게 필요해!","というわけで、関羽さんを劉備から奪うため、あなたたちの助けが必要なのだ！",0,0,"","","","","","","","","",""},
{10602041,999,"啊这……","はぁ……","","어어... 그... 그렇구나...","はぁ……",0,0,"","","","","","","","","",""},
{10602042,999,"原来是找下属啊，突然感觉一点意思都没有了呢~","部下を探しておったのか、急に面白くなくなったのう～。","","부하 공략... 하하하. 갑자기 흥미가 사라져버렸네~","部下を探しておったのか、急に面白くなくなったのう～。",31060221,31060222,"就是说啊！","","","그러게!","そうだな。","都是天照大人想歪了啦！","","","아마테라스 님! 이상한 생각했데요~!","アマテラス様が勘違いしただけだよ。"},
{10602043,999,"好意思说老身，你肯定也想歪了吧！","わしのせいにするな、お前も勘違いしておったじゃろ。","","지금 나만... 이상한 상상한 거야...? \r\n네 녀석도 했잖아!","わしのせいにするな、お前も勘違いしておったじゃろ。",0,0,"","","","","","","","","",""},
{10602044,999,"哼，真没劲！","ふん、つまらん！","","쳇...!","ふん、つまらん！",0,0,"","","","","","","","","",""},
{10602045,1060,"呃，你们在说什么呀？","えっと、あなたたちは何を言っておるのだ？","","...? 너희들 지금 무슨 소리를 하는 거야?","えっと、あなたたちは何を言っておるのだ？",0,0,"","","","","","","","","",""},
{10602046,999,"和你无关啦！","お前には関係ない！","","아, 아무것도 아니야!","お前には関係ない！",0,0,"","","","","","","","","",""},
{10602047,0,"海边","海辺","","바닷가ㅡ","海辺",0,0,"","","","","","","","","",""},
{10602048,0,"私下密谋的三人回到大部队身边后，曹操遵照{PlayerName}的建议，拉着关羽便要下水游泳。","密談をしていた3人が戻った後、曹操は{PlayerName}の提案に従い、関羽を泳ぎに連れていこうとした。","","세 사람은 은밀하게 모여 이야기를 나누고 있었다. 조조는 {PlayerName}님은 관우와 함께 바닷가에서 수영을 하라고 제안했다.","密談をしていた3人が戻った後、曹操は{PlayerName}の提案に従い、関羽を泳ぎに連れていこうとした。",0,0,"","","","","","","","","",""},
{10602049,1060,"（{PlayerName}说，在动画里一般海边剧情增进感情的方式就是教对方游泳。）","（{PlayerName}によると、アニメでは普通、海辺で人間関係を良くするために水泳を教えるのだという。）","","({PlayerName}님의 말이 그러니깐 만화라는 것에서 바닷가에서 서로 수영을 가르치면서 \r\n호감도를 올리라는 거잖아...)","（{PlayerName}によると、アニメでは普通、海辺で人間関係を良くするために水泳を教えるのだという。）",0,0,"","","","","","","","","",""},
{10602050,1060,"（虽然不知道“动画”是什么，不过{PlayerName}是异世界人，那说不定是他们的秘宝！）","（「アニメ」が何なのかは知らないが、{PlayerName}は異世界の人間だから、それは彼らの秘宝なのかもしれない！）","","(만화라는 게 뭔지는 모르겠지만 \r\n{PlayerName}님은 이세계에서 온 사람이니. 그게 정답일 수도 있어!)","（「アニメ」が何なのかは知らないが、{PlayerName}は異世界の人間だから、それは彼らの秘宝なのかもしれない！）",0,0,"","","","","","","","","",""},
{10602051,1060,"关羽小姐，你应该没来过海边吧？如果来海边不游泳，那还有什么意思呢？","関羽さんは海に来たことがないだろう。海に来て泳がないなんて、なんの意味もないぞ。","","관우, 바닷가에 와본 적 없지? 여기서는 수영이라는 것을 해야 한데.","関羽さんは海に来たことがないだろう。海に来て泳がないなんて、なんの意味もないぞ。",0,0,"","","","","","","","","",""},
{10602052,1060,"咦，你不会游泳？那真是太巧，不对，那真是太可惜了！","えっ、泳げないのか？それは本当に偶然、じゃなくて、残念だ！","","아... 수영을 못 한다구? 잘 됐다... 크흠. \r\n수영을 못한다니... 안타까워라.","えっ、泳げないのか？それは本当に偶然、じゃなくて、残念だ！",0,0,"","","","","","","","","",""},
{10602053,1054,"……我还什么都没说。","……まだ何も言っていませんが。","","... 아무 말도 하지 않았는데요...","……まだ何も言っていませんが。",0,0,"","","","","","","","","",""},
{10602054,1060,"咳咳，总之！让我来教你游泳吧！","ゴホン、とにかく！水泳を教えてあげよう！","","으으... 아무튼! 과인이 수영 가르쳐줄게!","ゴホン、とにかく！水泳を教えてあげよう！",0,0,"","","","","","","","","",""},
{10602055,1054,"呃。","む……","","어어...","む……",0,0,"","","","","","","","","",""},
{10602056,1060,"不必跟我客气！关羽小姐是我救命恩人，为了你我什么都可以做哟！","わしに遠慮する必要はないぞ！関羽さんはわしの命の恩人だ。あなたのためなら何でもする！","","과, 관우는 과인의 생명의 은인이니... \r\n널 위해서라면 뭐든지 할 수 있어!","わしに遠慮する必要はないぞ！関羽さんはわしの命の恩人だ。あなたのためなら何でもする！",0,0,"","","","","","","","","",""},
{10602057,1054,"……我只是想说，你确定不先热个身么？","……えーと、最初にウォーミングアップをしなくていいんですか？","","아니... 수영을 배울려면 먼저 준비 운동을 해야하지 않을까요...","……えーと、最初にウォーミングアップをしなくていいんですか？",0,0,"","","","","","","","","",""},
{10602058,1060,"那种小事先放在一边啦，咱们赶紧进入游泳的流程吧！","そんなのは後だ、早く泳ぎの練習を始めよう！","","에이~ 그런 거 필요없어. 자자, 바로 들어가자!","そんなのは後だ、早く泳ぎの練習を始めよう！",0,0,"","","","","","","","","",""},
{10602059,1060,"嘿嘿！","へへへ！","","헤헤헷...!","へへへ！",0,0,"","","","","","","","","",""},
{10602060,0,"此时，{PlayerName}端着一把泡泡枪悄悄走了过来。","その時、{PlayerName}がバブルガンを持ってこっそりと歩いてきた。","","그리고 그때, {PlayerName}님은 비눗방울 총을 들고 조용히 다가왔다.","その時、{PlayerName}がバブルガンを持ってこっそりと歩いてきた。",0,0,"","","","","","","","","",""},
{10602061,0,"一大堆泡泡被发射出去，在阳光下折射出五彩，环绕在曹操与关羽周遭。","たくさんの泡が発射され、日光の下で虹色に輝き、曹操と関羽の周りを取り囲んでいる。","","그리고 비눗방울 총에서 많은 비눗방울들이 나왔고 햇빛에 반사되어 조조와 관우의 주위에 가득했다.","たくさんの泡が発射され、日光の下で虹色に輝き、曹操と関羽の周りを取り囲んでいる。",0,0,"","","","","","","","","",""},
{10602062,1060,"看，好多漂亮的泡泡！","ほら、きれいな泡がたくさん！","","와아... 비눗방울 엄청 예쁘다!","ほら、きれいな泡がたくさん！",0,0,"","","","","","","","","",""},
{10602063,1054,"嗯……","ええ……","","음...","ええ……",0,0,"","","","","","","","","",""},
{10602064,1002,"哥哥大人这是在做什么呀？","お兄ちゃんは何をしてるの？","","오라버니... 지금 뭐하는 거얌?","お兄ちゃんは何をしてるの？",0,0,"","","","","","","","","",""},
{10602065,999,"小子说，当“动画”里出现女孩子贴贴的场景，就需要加一些“特效”。","小僧によると、「アニメ」で女の子とくっつくシーンには「特殊効果」を入れる必要があるらしい。","","이 녀석이 만화라는 것에서 이런 장면에 비눗방울 특수 효과가 반드시 필요하다고 해서...","小僧によると、「アニメ」で女の子とくっつくシーンには「特殊効果」を入れる必要があるらしい。",0,0,"","","","","","","","","",""},
{10602066,999,"……老身也一头雾水呢。","……わしにもよくわからん。","","... 이 몸은 이해가 잘 가지 않지만...","……わしにもよくわからん。",0,0,"","","","","","","","","",""},
{10602067,1008,"不愧是主人大人，一举一动连神明都看不透！","さすがご主人様、神様にもわからないことをやってのける！","","역시 대인님, 어쩜 아마테라스 님보다 뛰어나시네요!","さすがご主人様、神様にもわからないことをやってのける！",0,0,"","","","","","","","","",""},
{10602068,999,"你在这拍马屁他也听不到哦。","ここでお世辞を言っても小僧には聞こえないぞ。","","뭐래...","ここでお世辞を言っても小僧には聞こえないぞ。",0,0,"","","","","","","","","",""},
{10602069,1008,"那没事了……欸，你们看那边，是不是有人落水啦？哇，挣扎的好厉害呀。","そうですね……あっ、あそこ、誰かが水に落ちたのでは？うわ、すごいもがいてますが。","","에...?! 물에 빠졌는데요?! 와아... \r\n엄청나게 허우적거리고 있어요.","そうですね……あっ、あそこ、誰かが水に落ちたのでは？うわ、すごいもがいてますが。",0,0,"","","","","","","","","",""},
{10602070,999,"那不是曹操么！","曹操じゃ！","","저거 조조 아니야!?","曹操じゃ！",0,0,"","","","","","","","","",""},
{10602071,0,"在众人惊讶的目光中，刚才还戳着泡泡与关羽嬉戏的曹操忽然惨叫一声，咕噜咕噜沉入水中。","みんなの驚きの視線を集める中、さっきまで泡を触って関羽と遊んでいた曹操が突然悲鳴を上げ、ゴボゴボと水の中に沈んでいった。","","방금까지 비눗방울을 보고 즐거워하던 조조는 바다에 빠져 허우적 거리고 있었다.","みんなの驚きの視線を集める中、さっきまで泡を触って関羽と遊んでいた曹操が突然悲鳴を上げ、ゴボゴボと水の中に沈んでいった。",0,0,"","","","","","","","","",""},
{10603001,0,"眼见在水中挣扎呼救的曹操不像是演戏，关羽果断游过去将她捞了起来。","水中でもがく曹操の姿が演技に見えないので、関羽は泳いでいって彼女をすくい上げることにした。","","그리고 그 모습이 연기하는 것 같지는 않다고 판단되자 관우는 바로 조조를 구해냈다.","水中でもがく曹操の姿が演技に見えないので、関羽は泳いでいって彼女をすくい上げることにした。",0,0,"","","","","","","","","",""},
{10603002,1054,"……就这你还教我游泳？","……これでも、吾に水泳を教えるのですか？","","... 하아... 고작 이런 실력을 가지고 저한테 수영을 가르치시려고 하신 건가요?","……これでも、吾に水泳を教えるのですか？",0,0,"","","","","","","","","",""},
{10603003,1060,"噗，咳咳……脚，脚抽筋了……","ぶはっ、ゴホン…あ、足がつって……","","푸하아... 콜록콜록...! 가, 갑자기 발에... 쥐가 나서...","ぶはっ、ゴホン…あ、足がつって……",0,0,"","","","","","","","","",""},
{10603004,1054,"站得起来么？先回岸上去吧。","立ち上がれますか？とりあえず岸に戻りましょう。","","일어설 수 있겠어요? 일단 돌아가요...","立ち上がれますか？とりあえず岸に戻りましょう。",0,0,"","","","","","","","","",""},
{10603005,1060,"呃……啊！唉哟~刚才呛了好几口海水，现在浑身无力~","ぐっ……ぅ！ああ…さっき何回も海水にむせたせいで、体がだるい…。","","윽… 아얏...! 바닷물을 너무 마셔서 그런가... \r\n온 몸에 힘이 들어가지 않네~","ぐっ……ぅ！ああ…さっき何回も海水にむせたせいで、体がだるい…。",0,0,"","","","","","","","","",""},
{10603006,1060,"麻烦关羽小姐把我抱回岸上吧~","関羽さん、わしを岸まで運んでくれ。","","관우... 과인을 좀 업어주겠어?","関羽さん、わしを岸まで運んでくれ。",0,0,"","","","","","","","","",""},
{10603007,1054,"……好。","……はい。","","... 그래요...","……はい。",0,0,"","","","","","","","","",""},
{10603008,1060,"关羽小姐，我很重么？","関羽さん、わしは重いか？","","관우, 과인이 좀 무겁지...?","関羽さん、わしは重いか？",0,0,"","","","","","","","","",""},
{10603009,1054,"没有。","いいえ。","","아니요.","いいえ。",0,0,"","","","","","","","","",""},
{10603010,1060,"那你怎么不说话？","じゃあ、どうして黙っておるのだ?","","그럼 왜 아무 말도 없는 거야?","じゃあ、どうして黙っておるのだ?",0,0,"","","","","","","","","",""},
{10603011,1054,"我乃武将，不善言辞。","吾は武将、口下手なのです。","","전 원래 말이 많은 편이 아니에요.","吾は武将、口下手なのです。",0,0,"","","","","","","","","",""},
{10603012,1060,"还是要多说说话呢~我听说关羽小姐待人平和温柔，却为何总对我板着个脸呢？","やはり、もっと話す必要があるな。関羽さんはいつも穏やかで優しいと聞いたが、なぜわしにはいつも真顔なのだ。","","으음... 관우는 과인에게만 너무 쌀쌀 맞은 거 같아. \r\n다른 사람들한테는 친절하게 대해주면서. 과인에게는 왜 그래?","やはり、もっと話す必要があるな。関羽さんはいつも穏やかで優しいと聞いたが、なぜわしにはいつも真顔なのだ。",0,0,"","","","","","","","","",""},
{10603013,1060,"啊对了！之前说要让关羽小姐品鉴我新作的诗，结果被小天照打断了。","あっ、そうだ！前に関羽さんに新作の詩を味わってもらおうとしたら、アマテラスちゃんに邪魔されたんだったな。","","아...! 아까 아마테라스 때문에 다 말하지 못한 시조를 다시 말해줄게.","あっ、そうだ！前に関羽さんに新作の詩を味わってもらおうとしたら、アマテラスちゃんに邪魔されたんだったな。",0,0,"","","","","","","","","",""},
{10603014,1060,"不如趁此机会，让我念与关羽小姐听？","この機会に、わしに詠ませてくれないか？","","관우, 괜찮지?","この機会に、わしに詠ませてくれないか？",0,0,"","","","","","","","","",""},
{10603015,1054,"我……","えーと……","","전...","えーと……",0,0,"","","","","","","","","",""},
{10603016,1060,"我知道关羽小姐也是爱读书之人，我俩在诗歌方面说不定能成为朋友呢！","関羽さんも読書好きな人だときいておる。わしらは詩友になれるかもしれない！","","과인이 알기로는 관우도 책을 좋아한다고 하던데. \r\n이참에 우리가 좋은 친구가 될 수 있지 않을까?","関羽さんも読書好きな人だときいておる。わしらは詩友になれるかもしれない！",0,0,"","","","","","","","","",""},
{10603017,1060,"对吧！","そうだろう！","","그치?!","そうだろう！",0,0,"","","","","","","","","",""},
{10603018,1054,"呃……","えっと……","","윽...","えっと……",0,0,"","","","","","","","","",""},
{10603019,1060,"咳哼！关羽小姐听好了，这《观沧海》的第一句是，东临碣石，以观沧唉哟——","ゴホン！関羽さん、よく聞いてくれ。『観滄海』の第一句は、東のかた碣に臨み、以て滄海を――","","훗... 관우 잘 들어봐~ 《관창해》의 마지막 구절.\r\n 동쪽에 있는 갈대 산에서... 푸른 바다를 바라본다ㅡ","ゴホン！関羽さん、よく聞いてくれ。『観滄海』の第一句は、東のかた碣に臨み、以て滄海を――",0,0,"","","","","","","","","",""},
{10603020,0,"说话间，二人已经回到岸上。不等曹操将第一句诗念完，关羽便松开双手让这个聒噪的家伙掉在了地上。","話をしている間に、二人はもう岸についてしまった。曹操が第一句を詠み終えるのを待たずして関羽は手を離し、この騒がしい人間を地面に落とした。","","두 사람은 육지에 도착했고, 조조는 관우에게 시가 어땠냐고 물어보려던 찰나. 관우는 조조를 업혀있던 조조를 땅에 내려줬다.","話をしている間に、二人はもう岸についてしまった。曹操が第一句を詠み終えるのを待たずして関羽は手を離し、この騒がしい人間を地面に落とした。",0,0,"","","","","","","","","",""},
{10603021,1054,"到了。","着きました。","","이제 괜찮으시죠?","着きました。",0,0,"","","","","","","","","",""},
{10603022,999,"曹操，你没事吧？","曹操、大丈夫か？","","조조, 괜찮아?","曹操、大丈夫か？",0,0,"","","","","","","","","",""},
{10603023,1060,"哈哈哈，没事没事，幸得关羽小姐相助，不然我这次就糗大了呢。","ハハハ、大丈夫だ。幸いなこと関羽さんに助けられた。そうでなければ大変なことになっておったよ。","","아... 으응...! 괜찮아! 관우가 바로 구해줘서... \r\n아니었으면 정말 큰일 날 뻔 했어...","ハハハ、大丈夫だ。幸いなこと関羽さんに助けられた。そうでなければ大変なことになっておったよ。",0,0,"","","","","","","","","",""},
{10603024,1054,"嗯，我有些乏了，就先回旅馆了。各位，告辞！","はい、吾も少し疲れましたから、先に宿に帰ります。皆さん、失礼します！","","... 전 피곤해서 먼저 숙소로 돌아가보도록 하겠습니다.","はい、吾も少し疲れましたから、先に宿に帰ります。皆さん、失礼します！",0,0,"","","","","","","","","",""},
{10603025,1060,"不愧是蜀国第一武将，连生气都那么潇洒~","さすが蜀の第一武将だけあって、怒っておっても格好いいのう。","","... 제일 가는 무장 답게 쌀쌀 맞아도 멋있어~","さすが蜀の第一武将だけあって、怒っておっても格好いいのう。",0,0,"","","","","","","","","",""},
{10603026,1008,"嘶——","すっ――","","오오ㅡ","すっ――",0,0,"","","","","","","","","",""},
{10603027,1008,"这舔功，是个高手呀！","うーん、達人ですね。","","조조 님은 아부의 고수네요.","うーん、達人ですね。",0,0,"","","","","","","","","",""},
{10603028,999,"结果，小子的攻略秘籍失败了么？","結局、小僧の攻略秘技は失敗したのか？","","그러니깐 이 녀석의 공략법은 실패한 거야?","結局、小僧の攻略秘技は失敗したのか？",0,0,"","","","","","","","","",""},
{10603029,1060,"不不不，多亏了{PlayerName}的方法呀！虽然和想象中的有些出入，但还是拉近了我和关羽小姐的距离呢！","いやいや、{PlayerName}の方法のおかげだ！想像したものとはすこし違ったが、わしと関羽さんの距離を縮めることができた！","","아니! {PlayerName}님 덕분에 조금 마음의 거리를 좁힌 것 같아!","いやいや、{PlayerName}の方法のおかげだ！想像したものとはすこし違ったが、わしと関羽さんの距離を縮めることができた！",0,0,"","","","","","","","","",""},
{10603030,999,"……有么，老身怎么一点儿也没看出来？","……そうか？わしには全くそう見えなかったが…。","","...그 ... 래??? 이 몸은 전혀 그렇게 보이지 않는데?","……そうか？わしには全くそう見えなかったが…。",0,0,"","","","","","","","","",""},
{10603031,1060,"嘿嘿，虽然关羽小姐冷着个脸，但我知道她是在乎我的！","へへ、関羽さんは冷たい顔をしているが、実際はわしのことを大切にしてくれていることがわかった！","","으음, 표현을 잘 못하는 성격이니깐.\r\n과인은 이미 느꼈어. 과인을 많이 아끼고 있다는 것을!","へへ、関羽さんは冷たい顔をしているが、実際はわしのことを大切にしてくれていることがわかった！",0,0,"","","","","","","","","",""},
{10603032,1060,"不然，为什么要下水救我，还把我抱回到岸上？","でなければ、どうしてわしを助けて岸まで運んでくれるのだ？","","그게 아니라면... 방금 과인을 구하지 않았을 거야.","でなければ、どうしてわしを助けて岸まで運んでくれるのだ？",0,0,"","","","","","","","","",""},
{10603033,999,"有没有一种可能，那是看在你那一百多个持刀护卫的面子上（小声）","岸に100人以上の護衛がいるからでは？（小声）","","그건... 이 근처에 있는 네 호위대를 보고 안 구할 사람이 어딧겠어...(중얼중얼)","岸に100人以上の護衛がいるからでは？（小声）",0,0,"","","","","","","","","",""},
{10603034,1008,"哇，这个人比我还会脑补呀！（小声）","わあ、この人、私よりも妄想好きですね。（小声）","","정말 조조 님은 생각하고 싶은대로 생각하시네요! (소근소근)","わあ、この人、私よりも妄想好きですね。（小声）",0,0,"","","","","","","","","",""},
{10603035,1008,"我也偶尔会想主人大人到现在还没把我解雇，铁定是暗恋我！（小声）","私もたまに思うんです。ご主人様がずっと私を解雇しないのは、私に惚れているからに違いないって！（小声）","","저도 가끔 성주님께서 저를 짝사랑하고 있지 않나 그런 상상을 하긴 하는데.\r\n저보다 심하시네요!(소근소근)","私もたまに思うんです。ご主人様がずっと私を解雇しないのは、私に惚れているからに違いないって！（小声）",0,0,"","","","","","","","","",""},
